Projeto
MP-POV. PAI JOÃO/MORRO PAI JOÃO
MP REG. SERRA DE ÁGUA - ITACARÉ
MP-REG. SÃO JOÃO ( COMPL.)
MP-REG. SÃO JOÃO ( COMPL.)
MP- POV. COQUEIRO ALTO (COMPL)
MP-FAZ. SÃO MATEUS
MP-FAZ. SÃO MATEUS
MP - FAZ. SÃO GABRIEL(KM55)
MP-CCOL-POV.AMBUBA DE BAIXO-RURAL
MP-CCOL-FAZ. LAGE DO CAJUEIRINHO-RURAL
MP-CCOL-LOC.NELSON FELICIANO
MP- POV. ALAGOINHA DO AÇUDE COMPL
MP-CCOL-FAZ.UMBURANA
MP- POV. JACURICI DA PONTE
MP-CCOL-POV CAMULENGO-RURAL
RR-CIND-FAZ.TABOINHA DO NORTE-RURAL
MP-CCOL-POV PAJEU/PE DE SERRA-RURAL
MP-CCOL-FAZ. CORREDOR DA ESPERANÇA-RURAL
MP - FAZENDA MIRAGEM E REGIÃO
RU-DIST-POV BARRAGEM LESTE-JD CORDEIRO
MP CCOL FAZ BARRA DO S. JOSE RURAL
MP CIND POV BAIXÃO RURAL
AC-REG FV-POV BAIXÃO-RURAL
AC-REG FV-CCOL-POV LAGOA QUEIMADA-RURAL
ME-CIND-FAZ. CANTO DO RUMO-ADF-RURAL
MP-CCOL-FAZ BAIXA FRIA-RURAL
MP-SEIN-FAZ PIATA COLABRO-RURAL
RR-CCOL-PRAÇA DA MATRIZ-URANDI
RR-CCOL-PRAÇA DA MATRIZ-URANDI
RU-CCOL-RUA SUECIA-VILA ELISA
RR-CCOL-FAZ CAPIM BRANCO-AROEIRA-MIR
RR-CIND-AG. 2 BORDO D LAGO-RURAL-GLR
MP-CCOL-POV B. SORTE-R. FUNDO-RURAL
MP - REG. MADALENA
RR-CIND-FAZ. BOA VISTA-RURAL
MP- FAZ. MAÇAL
RR-CCOL-PC DO ROSARIO-RURAL
MP-CCOL-FAZ ALTO BONITO-RURAL
MP-CCOL-FAZ CARAIBA GRANDE-RURAL
MP-CCOL-FAZ.PAU FERRO
MP-CCOL-POV LAGOA DA VACA-RURAL
MP-CCOL-POV. OLHOS D'AGUA DA BICA-RURAL
MP-RECL-POV PAI JOAQUIM-RURAL
MP-CCOL-RECL-FAZ JUREMA-RURAL
MP CIND FAZ QUEIMADAS RURAL
MP-CIND-FAZ. SALOBRÃO-RURAL
MP-CCOL-FAZENDA MIRAGEM (COMPL.)-RURAL
MP-CCOL-POV VARZEA COMPRIDA 141-B-RURAL
MP-CCOL-FAZ REUNIDAS SANTO ANTONIO-RURAL
KT-CIND-LAGEDO GRANDE TABULEIRO-RURAL
MP-CCOL-FAZ PEGA-RURAL
MP-CCOL-FAZ AÇUDE-MONSENHOR BASTOS
MP-CIND-POV GERAIS DE CIMA-RURAL
MP-CCOL-POV OURICURI-RURAL
LD CCOL POV VARZEA CURRAL RURAL
ADF-CIND-FAZ MARCAÇÃO-RURAL
IC CIND RUA DR ARIUELTO CENTRO
MP-CCOL-POV PERIMETRO IRRIGADO-RURAL
MP-CCOL-POV MUQUEM-RURAL
MP-CCOL-FAZ SANTA BÁRBARA-MISSÃO-RURAL
RR-CCOL-POV DA TAPERA-RURAL
AC-CCOL-FAZ MORRINHOS-RURAL-REG-FV
MP-SEIN-FAZ SÃO JORGE-RURAL RUY BARBOSA
MP-CCOL-SEIN-RUA RIACHO DANTAS-RURAL
MP-SEIN-POV ALGODOES-RURAL ALGODOES
ER-CIND-POV ESPINHEIRO I-RURAL
MP-CCOL-FAZ ALAGOINHA-JACARACI
MP-CIND-FAZ RIACHO DA PEDRA-RURAL
MP-CCOL-POV PARAGUASSUZINHO-RURAL
RR-CIND-FAZ REGA PE-RURAL
RR-CIND-FAZ REGA PE-RURAL
MP-SEIN-FAZ AMAZONAS-RURAL
MP-CCOL-POV PORTEIRAS-RURAL
MP-SEIN-FAZ ALTO ALEGRE-REG RIACHO GADO
RR-CCOL-POV SERRAGENS-RURAL
AC-REG-FV-SÍTIO MARIA VITÓRIA COMPL
RR-CIND-POV ARARAS-RURAL-CPF
MP-CCOL-POV LAGOA GRANDE-RURAL
ER-CCOL-FAZ S O ROQUE-RURAL-LGR
MP - CCOL - FAZ. JULIÃO 1800 - RURAL - A
RR-CCOL-POV RIO PRETO-BELMONTE-BLM
AL 04 ARAÇÁS - CONSTRUÇÃO
MP-FAZ IMPUEIRA
RR-CIND-ROD BR 245 KM 02-RURAL-IAC
MP - CIND FAZ PEDRA GRANDE - RURAL
MP-CCOL-POV DUAS BARRAS-RURAL
MP-CCOL-POV DUAS BARRAS-RURAL
MP-CCOL-FZ SITIO RR ARARAS-RURAL
AC CIND POV MATO CIPO  RURAL
RR-CCOL-FAZ IRACEMA-RURAL -PMA
RR-CIND-FAZ PORTO DA PONTA-RURAL GUAIBIM
AC-CIND-POV FAZENDA NOVA-RURAL
UB-RUA-CIND-S O JORGE-CENTRO
RR-PREF-PRC DERALDO PEREIRA SILVA-CENTRO
RC-CIND-AVN AMBROSIO DOMINGUE-CENTRO-ROP
MP - ADF -SEIN-FAZ DOMINGOLANDIA-RURAL
RR-CIND-POV S O ROQUE-RURAL S O ROQU-UTA
EXT RD- COL-PO TABULEIRO DE DENTRO- GUAJ
ER-CIND-RUA-BELA VISTA-CENTRO
MP-CCOL-POV TERREIRÃO-RURAL
MP-CIND-FAZ PEDRA BRANCA-RURAL
AC-CIND-POV-ACARA SECO-RURAL(COM ADF MT)
MP CIND-FAZ FORMOSA- RURAL
MP-CCOL-FAZ BOM JARDIM-RURAL
UB-CCOL-RUA-MAN  CANDIDO SILVEIRA-C  IBI
MP-CCOL-COMPL- POV. POÇO VERDE 1800 RURA
AC-CIND-FAZ VARGINHA-CONTAGEM
ER-CIND-POV-LAGE DOS NEGROS-RURAL
ER-CIND-FAZ SAO JOAO-RURAL
RR-CIND-FAZ-VEREDA GRANDE-RURAL
ER-CIND-POV-AMARGOSO-RURAL
ER-CIND-POV MONTE ALTO 1993-RURAL
RC-CIND-POV-TAMBURIL-RURAL
UB-PREF-RUA-SANTA CATARINA-NOVA IRAQUARA
AC-CIND-FAZ RIO DO PEIXE-RURAL PEDRI-JCC
AC-CIND-POV-FACAO-RURAL PIABINHA
AC-CIND-FAZ-PASTINHO-RURAL
AC-CIND-FAZ-LAMEIRO-RURAL-MONSENHOR BAST
MP-CCOL-POV.LAPINHA-RURAL
ER-CIND-POV-VOLTA GRANDE-RURAL
AC-CIND-FAZ-CONCEICAO-RURAL
ER-CIND-POV-DA GAMELEIRA-RURAL ALECRIM
RC-CCOL-RUA-EUZEBIO LIMA 13-CENTRO
RI-SEIN-RUA-G-CENTRO-AGROVILA 01
IP-SEIN-AV-CANARANA-LAGOA FUNDA
ER-CIND-POV-MARREQUEIRO-RURAL
RR-CIND-FAZ-TOCA SUL-RURAL
RR-CCOL-FAZ-PEDRA DA IGREJA-BAIXIO
ER-CCOL-FAZ-ANGICAL-CENTRO-VIALA MARIANA
ER-CIND-FAZ-MACARANI-RURAL
IS-COEL-RUA-DECLECIANO SOBRINHO 228-CENT
ER-CIND-FAZ-INGAZEIRA-RURAL
ER-CIND-POV-ASSA PEIXE-RURAL-UMBAUBA
RR-CIND-POV-SANTA RITA-RURAL-POV S.RITA
RR-CCOL-POV SANTA FE-RURAL
RR-CIND-POV MACAMBIRA-RURAL
RR-CIND-POV-DAS TRAIRAS-RURAL
ER-SEIN-RUA JOSE ANTONIO PALLES 1800
ER-CIND-POV TAMBURIL 50-RURAL T NOVO
MP-CCOL-FAZ MATÃO-RURAL
MP-CIND-FAZ PIEDADE-RURAL
ER-CIND-POV-ESTREITO-RURAL
AC-CIND-FAZ PAJEU-RURAL-BRASILANDIA
ER-CIND-FAZ-ITARANTIM-RURAL
MP CIND POV LARGUINHA RURAL
MP-CCOL-ET-DA CAJUITA-RURAL
RI-SEIN-TRV-ADVANDO SANTOS-SANTO ANTONIO
AC-CIND-POV-LAGOA FUNDA-RR-LAGOA FUNDA
AC-CIND-POV-RANCHO ALEGRE-RURAL-RANCHO
RC-CIND-FAZ-CALDEIRAO-RURAL
ER-CIND-POV-S O DOMINGO-RURAL
ER-CIND-POV-RIACHO DAS PEDRAS-RURAL
RR-SEIN-FAZ IPIRANGA-RURAL-MACAJUBA
IT-CIND-SI-MANDACARU-SITIO MANDACARU
RR-CERB-POV-MOGIQUICABA 1985-RURAL
AC-CIND-POV-VALE DAS FORMIGAS-RURAL
AC-CCOL-POV BEIRA DO RIO DE CONTAS-RURAL
ER-CIND-POV-INCHU-RURAL
RR-CIND-POV-MANDASSAIA-MANDASSAIA
MP-CCOL-FAZ BAIXADA-RURAL-CAETANOS
RR-CCOL-POV-LAGOA DOS COQUEIROS-RURAL
MP-CCOL-POV-ROCADO-RURAL
MP-CCOL-POV-ROCADO-RURAL
ER-CCOL-FAZ-CALDEIR O-RIO DO ANTONIO
RR-CCOL-POV CALDEIRAO-RURAL CALDEIRAO
AC-REG FV- POV. CASCAVEL - RURAL ARACATU
AC-CIND-POV-LAGOA DO CANTO-RURAL
RR-CIND-FAZ. CANA BRAVA
RR-CCOL-FAZ INTEIRO-SAO JOAO DA VITORIA
ER-CIND-FAZ-MULUNGO-MANDACARU
RR-SEIN-ET-DA CAJUITA-RURAL
AC-CIND-FAZ-DOS GATAC-CIND-FAZ-DOS GATOS
ER - CIND - FZ CAPAO COMPRIDO 99 S N  CS
ER-CIND-FAZ-PIABANHA-RURAL
ER-CIND-POV-BAIXA DA CANA-BAIXA DA CANA
ER-CCOL-SI-CADEADO-RURAL
RR-CIND-POV LAGIA DA PEDRA II-MIRANTE
AC-CIND-FAZ-RTANQUE DA MANDIOCA-RURAL OL
RR-CCOL-SEIN-FAZ.GADO BRAVO-RURAL
ER-CCOL-FAZ-ALAGOINHA 11-RURAL
AC-CIND-FAZ-MULUNGU-LAGOA DOS NEGROS
ER-CIND-POV-CAGADO-RURAL
MP-CCOL-POV-TEIXEIRA OURICURI RURAL
MP-CCOL-POV MANDASSAIA-RURAL
ER-CIND-RCL-LOT-PEDRA BRANCA-AGROVILA PE
ER-CIND-POV-DA FAZ POCO-RURAL
ER-CCOL-PO LAGOA NOVA 147-RURAL
ER-CIND-POV-MUQUEM-MARI
MP-CCOL-RUA FORMOSA-RURAL
AC-CCOL-COND  ED  SANTO ANTONIUO DA BARR
